Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
17,CHEVO,SUV - STANDARD,5.3,,A6,E,35.25 mpg Imp.,22.09 L/100km,14.35 liters per 100 km,311
18,FOLD,SUV - STANDARD,2.3,4,AS6,X,5.02 liters per 100 km,7.02 liters per 100 km,5.92 liters per 100 km,263
19,LAND CRAWLER,SUV - SMALL,,4,AS8,Z,6.46 km per L,19.24 km per L,10.86 liters per 100 km,235
20,CHEVO,SUV - STANDARD,5.3,8,A6,X,15.13 L/100km,42.07 L/100 km,8.63 MPG (AS),335
21,LAND CRAWLER,SUV - STANDARD,3,6,AS8,D,7.09 liters per 100 km,not-available,51.12 mpg Imp.,247
22,CHEVO,COMPACT,1.4,4,AS6,X,9.21 km per L,31.23 mpg Imp.,1.00 L/10km,130
23,GONDA,STATION WAGON - SMALL,3.5,6,M6,X,8.61 km per L,11.58 km/L,10.27 liters per 100 km,158
24,BARUSU,,2.5,4,AV,X,31.25 L/100km,11.48 km/L,0,186
25,ASURA,COMPACT,2.4,4,M6,Z,0.44 liters per 100 km,21.89 L/100 km,1.01 L/10km,208
26,CHEVO,COMPACT,,4,M6,X,4.49 L/100km,3.37 liters per 100 km,3.99 L/100 km,151
27,NIRRAN,PICKUP TRUCK - SMALL,,,M6,X,0.53 L/10km,3.58 liters per 100 km,22.11 km per L,307
28,BMV,FULL-SIZE,4.4,,AS8,Z,9.96 mpg Imp.,12.33 L/100 km,21.15 liters per 100 km,295
29,BARUSU,COMPACT,,4,AV,X,32.72 MPG (AS),31.16 liters per 100 km,5.56 km/L,165
30,LECUS,SUV - SMALL,3.5,6,AS8,X,17.78 L/100km,10.72 km per L,1.40 L/10km,259
31,FOLD,missing,1.6,4,AS6,X,1.64 L/10km,10.51 L/100km,1.37 L/10km,207
32,FOLD,COMPACT,4.4,8,M6,X,0.08 L/10km,9.24 L/100 km,4.58 liters per 100 km,197
33,LAND CRAWLER,SUV - STANDARD,5,not-available,AS8,Z,21.15 liters per 100 km,,21.02 L/100 km,313
34,KIO,COMPACT,2,4,AS6,X,-1,14.88 km per L,-1,213
35,BARUSU,COMPACT,na,,AV8,Z,14.08 mpg Imp.,15.64 km per L,13.91 L/100 km,247
36,CHEVO,COMPACT,2,,M5,X,22.58 mpg Imp.,11.66 liters per 100 km,23.30 mpg Imp.,258.0597423
37,BMV,COMPACT,3,6,A8,Z,1.54 L/100 km,6.85 MPG (AS),14.43 MPG (AS),188
38,CHEVO,SUBCOMPACT,unspecified,6,AS8,X,18.27 km/L,1.02 L/10km,13.12 km per L,230
39,FIAR,SUV - SMALL,1.3,4,A9,X,5.00 mpg Imp.,11.29 liters per 100 km,7.81 mpg Imp.,206
40,NIRRAN,MINIVAN,3.5,,not-recorded,X,52.26 MPG (AS),15.52 MPG (AS),9.29 L/100km,253
41,CHEVO,SUV - STANDARD,5.3,8,not-recorded,X,13.70 L/100 km,1.72 L/100 km,0.83 L/10km,338
42,KIO,STATION WAGON - SMALL,1.6,4,AS6,X,12.27 mpg Imp.,10.52 km/L,,212
43,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS6,X,14.09 L/100 km,6.73 L/100 km,-9999,282
44,LECUS,SUV - STANDARD,3.5,6,AV6,Z,25.52 L/100 km,0.37 L/100 km,19.90 mpg Imp.,192
45,TOLVO,SUV - SMALL,6.2,8,AS8,Z,10.56 mpg Imp.,31.97 L/100 km,29.09 liters per 100 km,222
46,CHEVO,TWO-SEATER,6.2,8,AS8,Z,1.81 L/10km,16.81 mpg Imp.,5.71 km per L,280
47,TOYOTI,SUV - STANDARD,2.5,4,AV,,7.37 L/100 km,6.53 liters per 100 km,6.99 liters per 100 km,152
48,FOLKSWA,SUBCOMPACT,2,4,AS6,X,14.98 mpg Imp.,103.88 MPG (AS),8.78 km/L,200
49,FOLKSWA,COMPACT,,4,M5,X,7.66 L/100 km,2.19 L/10km,7.11 km/L,187
50,TOYOTI,COMPACT,3.6,,AV,X,6.31 L/100 km,25.50 L/100km,14.94 L/100km,170
51,LECUS,SUBCOMPACT,3.5,6,AS6,Z,4.03 MPG (AS),-9999,5.69 MPG (AS),259
52,TOLVO,STATION WAGON - MID-SIZE,2,4,AS8,,1.17 L/10km,14.35 L/100 km,18.23 MPG (AS),209
53,CHEVO,SUV - SMALL,2.4,4,A6,X,18.33 L/100km,30.48 mpg Imp.,16.50 MPG (AS),219
54,DOGE,MID-SIZE,6.2,8,A8,Z,10.76 mpg Imp.,19.12 mpg Imp.,2.11 L/10km,414
55,TOLVO,SUV - SMALL,2.4,4,AS6,X,26.29 L/100km,354.18 MPG (AS),6.77 km per L,280
56,JIPU,PICKUP TRUCK - STANDARD,3.6,,A8,X,7.67 km per L,0.92 L/10km,8.84 km per L,289
57,FIAR,STATION WAGON - SMALL,1.4,4,A6,X,0.55 L/100km,5.45 km/L,27.48 MPG (AS),225
58,FOLD,SUBCOMPACT,2.3,4,AS10,X,1.09 L/10km,0.16 L/10km,zero,222
59,CHEVO,SUV - SMALL,2.4,4,A6,E,4.22 L/10km,2.64 L/100 km,,228
60,CADILUXE,COMPACT,2,4,,Z,0.46 L/10km,,15.80 km per L,202
61,ASURA,MID-SIZE,3.5,6,AM7,Z,0.08 L/10km,15.96 km/L,72.06 MPG (AS),178
62,CADILUXE,MID-SIZE,,4,unspecified,Z,14.08 km/L,8.17 L/100 km,zero,218
63,FOLD,SUV - SMALL,2,4,A8,X,32.38 liters per 100 km,7.35 km/L,11.81 mpg Imp.,233
64,MATSUDA,SUV - SMALL,2.5,unestablished,,X,10.24 MPG (AS),31.41 L/100 km,26.77 L/100 km,203
65,MATSUDA,TWO-SEATER,2,4,AS6,Z,4.10 liters per 100 km,131.54 km/L,38.47 km per L,197
66,MATSUDA,COMPACT,2.5,4,AS6,X,0,20.86 liters per 100 km,17.10 liters per 100 km,160
67,BMV,SUV - STANDARD,4.4,,AS8,Z,11.92 liters per 100 km,55.35 MPG (AS),11.81 km/L,368
68,FOLD,SUV - SMALL,3.5,6,AS6,X,6.06 km per L,1.48 L/10km,9999,244
69,LECUS,COMPACT,,4,AS8,Z,16.06 L/100km,0.45 L/10km,10.85 liters per 100 km,203
70,GONDA,,,4,AV7,X,11.17 km/L,112.57 km/L,18.79 km/L,163
71,FOLD,SPECIAL PURPOSE VEHICLE,,4,AS6,X,19.04 L/100km,12.71 L/100km,16.19 L/100km,250
72,FOLD,SUV - SMALL,2,4,AS6,X,1.41 L/10km,0.58 L/100km,8.03 L/100 km,227
73,DOGE,MID-SIZE,3.6,,A8,X,160.50 MPG (AS),480.47 MPG (AS),1.03 L/100km,258
74,GONDA,SUV - SMALL,1.8,4,AV,-1,2.58 L/10km,35.44 mpg Imp.,13.22 MPG (AS),96
75,CHEVO,SUV - SMALL,3.6,,A6,X,7.82 km/L,9.19 L/100km,11.17 L/100km,276
76,CHEVO,PICKUP TRUCK - STANDARD,,,A6,X,16.74 MPG (AS),19.76 mpg Imp.,14.16 L/100km,407
77,CHEVO,SUV - SMALL,3.6,6,A6,X,7.12 km per L,1.51 L/10km,16.19 MPG (AS),298
78,MITSU,COMPACT,,4,M5,X,0.39 L/10km,0.05 L/10km,118.72 mpg Imp.,175
79,BMV,SUV - STANDARD,3,6,AS8,Z,200.24 MPG (AS),9.29 L/100km,20.71 km/L,280
80,BMV,SUBCOMPACT,3,6,M6,Z,12.70 L/100 km,3.93 km/L,15.33 mpg Imp.,292
81,DOGE,MID-SIZE,2,4,M6,X,3.65 km per L,4.87 km per L,24.31 liters per 100 km,195
82,CHEVO,COMPACT,2,4,M6,Z,25.71 km/L,6.00 L/100 km,20.67 km per L,219
83,CHEVO,COMPACT,,8,AS8,Z,13.42 km per L,9.50 MPG (AS),6.56 km per L,269
84,BMV,SUV - SMALL,,4,AS8,Z,43.01 MPG (AS),18.81 MPG (AS),32.72 mpg Imp.,233
85,FOLKSWA,MID-SIZE,2,4,M6,D,26.04 MPG (AS),0.68 L/10km,0.80 L/10km,192
86,CHEVO,COMPACT,1.8,4,M5,X,17.97 mpg Imp.,42.32 liters per 100 km,8.49 MPG (AS),184
87,NIRRAN,SUV - SMALL,2.5,4,AV,X,14.03 mpg Imp.,0.32 L/10km,8.00 km/L,193
88,TOYOTI,PICKUP TRUCK - SMALL,2,4,AS6,X,1.78 L/10km,22.81 MPG (AS),6.94 km per L,285
89,FOLKSWA,MID-SIZE,2,4,A6,D,0.74 L/10km,4.92 liters per 100 km,37.39 MPG (AS),181
90,CHEVO,SUV - STANDARD,2.4,4,A6,E,14.55 mpg Imp.,16.08 L/100 km,13.13 MPG (AS),314
91,CHEVO,TWO-SEATER,6.2,8,AS8,Z,1.84 L/10km,17.32 liters per 100 km,17.93 liters per 100 km,291
92,LECUS,COMPACT,3.5,6,AS8,Z,1.33 L/10km,6.26 L/100km,,233
93,MITSU,SUV - SMALL,2.4,4,missing,X,4.93 km per L,19.09 km per L,7.40 km per L,221
94,JIPU,SUV - SMALL,2.4,4,A9,,-9999,15.37 L/100km,13.17 liters per 100 km,225
95,FOLKSWA,MID-SIZE,,4,A6,X,2.76 liters per 100 km,15.63 liters per 100 km,8.55 liters per 100 km,192
96,BMV,TWO-SEATER,2,4,AS8,Z,9.65 MPG (AS),5.99 km per L,20.92 liters per 100 km,209
97,BMV,SUBCOMPACT,4.4,8,AS8,Z,1.83 liters per 100 km,13.76 MPG (AS),11.50 km per L,277
98,CHEVO,SUV - SMALL,2.4,4,A6,X,33.36 MPG (AS),13.63 L/100km,10.01 liters per 100 km,226
99,CHEVO,MID-SIZE,1.4,4,AS6,X,9.26 mpg Imp.,66.81 mpg Imp.,18.68 liters per 100 km,196
100,CHEVO,VAN - PASSENGER,4.8,8,A6,X,4.32 km per L,-9999,22.70 liters per 100 km,374
101,FOLD,FULL-SIZE,3.5,6,AS6,,28.93 L/100 km,22.63 liters per 100 km,,299
102,CADILUXE,MID-SIZE,4.4,8,not-recorded,Z,2.92 L/100 km,0.36 L/10km,3.23 L/100km,279
103,FOLD,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,3.68 km per L,1.13 L/10km,20.05 liters per 100 km,246
104,TOLVO,MID-SIZE,5.3,8,AS6,X,9.08 mpg Imp.,8.99 L/100km,4.73 km per L,250
105,BMV,COMPACT,3,6,AS8,Z,14.76 L/100km,0.15 L/10km,32.13 mpg Imp.,223
106,CHEVO,VAN - PASSENGER,3.6,6,A4,E,,5.65 liters per 100 km,7.44 km/L,361
107,MITSU,COMPACT,2.4,4,M5,X,31.77 km/L,454.15 mpg Imp.,,218
108,RYUNDAI,SUV - SMALL,2,4,A6,X,10.49 L/100km,25.26 MPG (AS),,206
109,NIRRAN,STATION WAGON - MID-SIZE,3.5,,AV7,X,7.60 km/L,21.56 MPG (AS),23.25 mpg Imp.,233
110,JIPU,SUV - SMALL,2.4,4,M5,X,0.67 L/10km,-1,19.05 MPG (AS),216
111,CHEVO,FULL-SIZE,6,8,AS6,X,19.25 mpg Imp.,15.41 L/100 km,15.00 L/100km,244
112,FOLD,PICKUP TRUCK - STANDARD,,8,AS6,X,3.09 km per L,24.43 liters per 100 km,28.78 liters per 100 km,312
113,GONDA,MID-SIZE,3.2,6,AS10,X,,152.13 mpg Imp.,10.11 km per L,213
114,BMV,SUBCOMPACT,3.6,6,AS8,missing,0,19.73 MPG (AS),19.39 MPG (AS),219
115,FOLD,PICKUP TRUCK - STANDARD,2.7,,AS6,X,14.74 MPG (AS),0.62 L/10km,8.65 km per L,249
116,LAMBOGI,TWO-SEATER,6.5,12,AM7,Z,7.82 km per L,10.72 liters per 100 km,zero,342
117,DOGE,FULL-SIZE,5.7,unspecified,A5,X,8.25 MPG (AS),15.83 mpg Imp.,9.92 MPG (AS),338
118,CHEVO,PICKUP TRUCK - STANDARD,2,4,A6,X,22.05 MPG (AS),8.58 L/100 km,24.17 MPG (AS),366
119,CADILUXE,MID-SIZE,3.6,6,AS8,X,2.16 L/10km,88.32 mpg Imp.,13.32 L/100 km,231
120,NIRRAN,TWO-SEATER,3.7,6,AS7,Z,134.37 mpg Imp.,17.17 L/100 km,0.89 L/10km,280
121,TOLVO,SUV - STANDARD,2,4,AS8,Z,16.70 km per L,2.23 L/100km,0.43 L/10km,243
122,LECUS,COMPACT,1.4,4,AS8,Z,126.58 mpg Imp.,13.59 L/100km,7.34 L/100 km,231
123,DOGE,MID-SIZE,6.2,8,M6,Z,22.43 L/100km,4342.08 MPG (AS),22.85 mpg Imp.,482
124,NIRRAN,SUV - SMALL,2.5,4,AV,X,28.98 km/L,454.81 km per L,2.00 liters per 100 km,188
125,CHEVO,COMPACT,1.8,not-recorded,AS6,X,19.23 liters per 100 km,67.34 km/L,11.25 liters per 100 km,182
126,FOLD,MID-SIZE,2,4,AV,X,20.98 L/100 km,4.55 L/100km,1.36 L/10km,174
127,DOGE,MID-SIZE,3.6,,A8,X,18.77 L/100 km,4.27 L/100km,8.17 km/L,233
128,TOYOTI,MINIVAN,2,4,AS8,X,8.26 L/100km,50.20 MPG (AS),15.04 km/L,284
129,CHEVO,SUV - SMALL,2.4,4,A9,X,22.14 L/100 km,11.90 L/100km,5.70 km/L,281
130,FOLD,FULL-SIZE,3,6,AS6,X,0.69 liters per 100 km,29.56 km per L,52.58 km per L,254
131,BMV,SUBCOMPACT,4.4,8,M6,Z,1.70 L/100km,2.02 L/10km,23.45 MPG (AS),309
132,NIRRAN,SUV - SMALL,3.6,6,AV,X,0.25 liters per 100 km,94.35 MPG (AS),224.76 mpg Imp.,250
133,JIPU,SUV - SMALL,2.4,4,A9,E,0.67 L/10km,1.10 liters per 100 km,23.92 km/L,204
134,TOYOTI,SUV - STANDARD,2.5,4,AV,X,25.41 km per L,27.58 km per L,74.41 mpg Imp.,173
135,FIAR,STATION WAGON - SMALL,1.4,4,A6,X,10.42 liters per 100 km,6.55 km/L,7.93 km/L,362.2410444
136,TOYOTI,PICKUP TRUCK - STANDARD,5.7,,AS6,X,3.58 km/L,30.47 MPG (AS),5.31 km/L,428
137,FOLD,SUV - SMALL,,4,AS6,X,10.57 mpg Imp.,17.26 liters per 100 km,22.47 L/100 km,233
138,FOLKSWA,COMPACT,,4,AM6,D,20.73 liters per 100 km,8.92 L/100 km,15.42 L/100 km,96
139,GONDA,MID-SIZE,2.4,4,AV,X,13.80 mpg Imp.,103.67 mpg Imp.,18.84 MPG (AS),166
140,TOYOTI,SUV - STANDARD,2.4,4,AS5,X,-9999,14.48 MPG (AS),17.91 MPG (AS),334
141,RYUNDAI,SUV - SMALL,2.4,,A6,X,1.65 L/100km,71.96 MPG (AS),2.38 liters per 100 km,244
142,CADILUXE,SUV - STANDARD,3.6,,AS6,X,9.56 MPG (AS),0.69 L/100km,7.22 km/L,290
143,NIRRAN,MINIVAN,5.7,8,AV,X,13.68 km/L,28.79 L/100 km,13.86 MPG (AS),255
144,TOYOTI,-1,,8,AS5,X,9.07 km/L,10.49 MPG (AS),6.19 km per L,308
145,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS6,E,27.98 liters per 100 km,7.85 km per L,4.73 km/L,318
146,RYUNDAI,FULL-SIZE,3,6,AS6,X,4.91 liters per 100 km,7.21 liters per 100 km,0.59 L/10km,201
147,DOGE,FULL-SIZE,3.6,6,A8,X,23.54 liters per 100 km,83.57 km per L,,257
148,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,13.15 L/100 km,21.00 mpg Imp.,21.26 mpg Imp.,437
149,MITSU,COMPACT,1.2,3,unspecified,X,15.00 km/L,16.88 L/100km,11.26 liters per 100 km,168
150,GONDA,COMPACT,2,4,AV,X,29.92 MPG (AS),8.68 L/100km,34.32 mpg Imp.,107
151,RYUNDAI,MID-SIZE,2,4,not-available,X,10.71 L/100km,9.68 km per L,1.05 L/10km,185
152,MITSU,SUV - SMALL,2,4,AV6,X,1.42 L/10km,0.60 L/10km,10.53 L/100km,210
153,NIRRAN,SUV - SMALL,4,,,X,22.66 km per L,9.21 km per L,7.31 L/100km,349
154,FOLD,not-recorded,3.3,6,AS6,E,18.91 L/100km,6.37 km per L,17.47 L/100km,255
155,TOYOTI,COMPACT,1.5,4,M5,X,1.70 L/10km,68.45 MPG (AS),9.16 km per L,171
156,TOLVO,SUV - STANDARD,not-available,,AS8,Z,33.69 mpg Imp.,6.76 km per L,11.27 L/100 km,246
157,LECUS,MID-SIZE,5,8,na,Z,-9999,9999,2.92 km/L,278
158,TOLVO,SUV - SMALL,2,4,not-recorded,Z,2.67 L/100km,7.46 liters per 100 km,4.83 L/100km,223
159,GONDA,SUV - SMALL,2.4,4,AV,X,17.32 km/L,1.77 L/100km,25.16 km/L,110
160,DOGE,FULL-SIZE,5.7,8,A5,X,22.46 L/100km,6.15 km/L,19.67 liters per 100 km,330
161,TOYOTI,na,2.7,4,M5,X,67.96 km/L,9.57 km/L,51.23 mpg Imp.,304
162,BMV,COMPACT,3,6,M6,Z,19.81 mpg Imp.,4.60 km/L,1.76 L/10km,278
163,FOLD,MID-SIZE,2,4,AS6,unspecified,19.59 L/100km,10.12 km per L,18.56 mpg Imp.,205
164,MATSUDA,MID-SIZE,2.5,4,AS6,X,14.21 km per L,43.88 MPG (AS),0.63 L/10km,179
165,RYUNDAI,MID-SIZE,1.6,4,AM6,X,1.80 L/10km,7.51 MPG (AS),,171
166,GONDA,STATION WAGON - SMALL,,4,M6,X,11.63 km/L,18.42 liters per 100 km,13.02 L/100 km,117
167,ASURA,COMPACT,3.5,6,AS9,Z,3.88 km per L,5.89 km per L,21.82 L/100km,222
168,FOLD,PICKUP TRUCK - STANDARD,5,8,AS10,X,8.71 mpg Imp.,64.54 mpg Imp.,1.98 L/10km,339
169,BMV,TWO-SEATER,3,6,AM7,Z,5.31 km/L,1.81 L/10km,5.41 km per L,296
170,RYUNDAI,COMPACT,,4,AM6,X,10.88 MPG (AS),4.57 MPG (AS),2.85 km per L,181
171,JIPU,SUV - SMALL,2.4,4,M5,X,5.44 liters per 100 km,3.45 liters per 100 km,22.02 km/L,228
172,TOLVO,SUV - STANDARD,3.2,-1,AS6,X,18.51 mpg Imp.,7.74 MPG (AS),10.66 MPG (AS),298
173,NIRRAN,SUV - SMALL,2.5,4,AV,X,9999,3.84 liters per 100 km,4.92 L/100km,189
174,JIPU,SUV - STANDARD,5.7,8,A8,X,23.11 L/100km,63.61 liters per 100 km,2.42 km/L,348
175,FOLD,PICKUP TRUCK - STANDARD,3.3,6,AS6,E,1.70 L/10km,2597.48 mpg Imp.,9.41 L/100 km,274
176,CHEVO,PICKUP TRUCK - STANDARD,,,A6,X,32.20 L/100km,39.58 km per L,14.99 mpg Imp.,294
177,CADILUXE,FULL-SIZE,2,4,not-available,Z,54.11 L/100km,644.92 km per L,29.83 L/100 km,217
178,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4,AS6,X,4541.75 mpg Imp.,1.05 L/10km,4.75 L/100km,237
179,JIPU,SUV - SMALL,2.4,4,A9,X,15.43 liters per 100 km,7.20 liters per 100 km,1.17 L/10km,225
180,CHEVO,PICKUP TRUCK - SMALL,3.6,,A6,X,5.92 km/L,1.34 L/10km,6.52 km per L,553.4634999
181,TOYOTI,MID-SIZE,,4,AV7,X,8.82 L/100km,22.93 MPG (AS),9.47 liters per 100 km,96
182,LECUS,COMPACT,3.5,,AS8,Z,44.36 mpg Imp.,19.47 L/100 km,12.26 L/100km,233
183,CHEVO,SUV - STANDARD,5.3,8,missing,X,3.64 km/L,10.20 mpg Imp.,27.56 L/100 km,334
184,TOYOTI,MID-SIZE,1.4,4,AV,X,0.99 L/10km,21.10 liters per 100 km,14.92 L/100 km,181
185,CADILUXE,FULL-SIZE,2,4,AS8,Z,,19.55 km per L,20.76 MPG (AS),219
186,BMV,unspecified,3,6,AS8,Z,22.72 MPG (AS),60.18 MPG (AS),13.42 km per L,252
187,TOYOTI,MID-SIZE,,8,AV7,X,0.59 L/10km,21.25 L/100km,7.80 km per L,177
188,MITSU,SUV - SMALL,2.4,4,AV6,X,4.38 km/L,14.66 liters per 100 km,19.16 L/100km,203
189,FOLD,SUBCOMPACT,unspecified,8,M6,X,2.44 L/10km,13.08 km/L,16.87 liters per 100 km,287
190,TOYOTI,SUV - STANDARD,3.5,6,AV6,X,1.55 L/10km,10.73 km per L,12.71 L/100 km,185
191,CHEVO,PICKUP TRUCK - SMALL,3.6,6,A8,X,3.19 L/10km,159.94 km/L,1.78 L/10km,429
192,FOLD,PICKUP TRUCK - STANDARD,,8,AS10,not-recorded,14.58 MPG (AS),3.62 L/100 km,10.50 liters per 100 km,332
193,CHEVO,SUV - SMALL,3.6,6,A6,X,2.54 km/L,6.14 L/100km,4.10 km per L,296
194,JIPU,SUV - SMALL,,4,M6,X,10.33 MPG (AS),17.70 mpg Imp.,5.08 km per L,202
195,KIO,FULL-SIZE,1.6,4,AM7,unknown,9.89 km per L,2.70 L/100km,6.77 L/100km,213
196,JIPU,SUV - SMALL,3.5,6,M6,X,7.76 L/100km,8.79 liters per 100 km,8.22 liters per 100 km,305
197,FOLD,MID-SIZE,1.5,4,AS6,X,0.07 L/10km,7.18 km per L,0.67 L/10km,194
198,JIPU,SUV - SMALL,,6,A9,E,,15.86 mpg Imp.,,225
199,FOLD,SUBCOMPACT,,4,AS10,X,3.75 km per L,18.40 L/100km,22.97 L/100 km,297
200,MITSU,SUV - SMALL,2.4,4,AV6,X,5.86 liters per 100 km,12.83 L/100km,11.12 km per L,214
201,TOLVO,SUV - SMALL,,4,AS8,X,8.49 km per L,41.98 mpg Imp.,10.52 km/L,208
202,NIRRAN,STATION WAGON - SMALL,,4,AV,X,26.55 liters per 100 km,7.59 L/100 km,5.55 km/L,196
203,CHEVO,MID-SIZE,,4,M6,X,,31.58 km per L,27.87 km per L,199
204,BARUSU,SUV - SMALL,2,4,AV8,,-1,17.43 MPG (AS),0.89 L/10km,198
205,DOGE,FULL-SIZE,2.4,4,A5,X,11.42 L/100km,25.89 MPG (AS),,270
206,CHEVO,SUV - STANDARD,5.3,8,A6,E,95.46 km per L,11.31 L/100km,17.65 km/L,339
207,ASURA,COMPACT,3.6,6,AS9,Z,98.17 km/L,0.23 L/10km,62.41 km/L,221
208,DOGE,SUV - SMALL,unspecified,,A6,E,66.96 MPG (AS),3.74 km/L,7.17 km per L,261
209,TOYOTI,SUV - SMALL,3.5,6,AS6,X,4.20 L/100 km,12.05 liters per 100 km,30.41 MPG (AS),255
210,RYUNDAI,SUV - SMALL,,4,AS6,X,5.63 L/100 km,323.57 MPG (AS),29.20 km per L,210
211,RYUNDAI,MID-SIZE,2,missing,AS6,X,14.37 L/100km,19.04 mpg Imp.,6.86 km per L,202
212,TOLVO,COMPACT,2.5,5,AS6,X,0,17.14 L/100km,9.52 liters per 100 km,320.7799312
213,BMV,FULL-SIZE,2,4,not-recorded,Z,10.08 L/100km,40.01 MPG (AS),8.19 liters per 100 km,203
214,LECUS,SUV - SMALL,2,4,AS6,Z,6.89 liters per 100 km,5.12 L/100 km,6.09 L/100 km,388.705209
215,FOLD,PICKUP TRUCK - STANDARD,2.7,,AS6,X,3.01 L/10km,14.87 km per L,14.43 mpg Imp.,272
216,TOYOTI,PICKUP TRUCK - STANDARD,4,unknown,AS5,X,22.38 MPG (AS),8.09 L/100 km,-1,339
217,NIRRAN,SUV - STANDARD,2.5,4,AV,X,18.62 L/100 km,16.09 km/L,7.67 km per L,210
218,FOLKSWA,COMPACT,,not-recorded,M6,X,15.54 mpg Imp.,18.38 MPG (AS),9999,191
219,KIO,MID-SIZE,2.4,4,AS6,X,1.02 liters per 100 km,9.29 km/L,5.40 L/100km,96
220,BMV,SUV - SMALL,2,4,AS8,Z,20.24 MPG (AS),1.38 liters per 100 km,7.01 liters per 100 km,209
221,RYUNDAI,SUV - SMALL,3.3,unestablished,AS6,X,3.87 km per L,17.76 L/100km,12.73 mpg Imp.,291
222,LECUS,COMPACT,2.5,missing,AS6,Z,0.46 L/10km,36.41 L/100km,18.91 L/100 km,230
223,CHEVO,SUV - SMALL,3.6,6,A6,X,34.35 L/100km,15.64 MPG (AS),3.90 km/L,325
224,CHEVO,COMPACT,1.4,4,M6,X,15.08 km/L,14.50 MPG (AS),1.09 L/10km,116
225,FOLD,SUV - SMALL,2,not-recorded,AS6,X,,9999,4.43 km per L,223
226,FOLD,MID-SIZE,5.2,10,AV,X,19.16 L/100 km,41.52 mpg Imp.,13.60 liters per 100 km,151
227,BMV,COMPACT,not-recorded,4,-1,Z,17.20 liters per 100 km,8.12 L/100km,13.11 L/100 km,199
228,CHEVO,COMPACT,,4,AS6,X,6.73 km/L,16.22 km/L,1.09 L/10km,96
229,KIO,MINIVAN,3.3,6,AS6,X,3.24 L/10km,8.58 km per L,10.21 MPG (AS),289
230,KIO,SUV - SMALL,2,4,AS6,not-recorded,12.18 liters per 100 km,16.83 MPG (AS),1.30 L/10km,250
231,RYUNDAI,MID-SIZE,2,4,AS6,X,154.16 MPG (AS),17.94 km per L,29.87 km/L,204
232,LECUS,SUBCOMPACT,3.5,6,AS6,Z,0.46 L/10km,21.29 km/L,4.65 liters per 100 km,258
233,RYUNDAI,SUBCOMPACT,3.8,,M6,unspecified,34.01 MPG (AS),31.67 liters per 100 km,15.65 mpg Imp.,292
234,KIO,SUV - SMALL,2.4,4,M6,X,6.31 km per L,8.28 liters per 100 km,8.03 km/L,413.0363242
235,BARUSU,MID-SIZE,2,4,AV7,X,74.37 MPG (AS),12.29 L/100 km,7.27 L/100km,176
236,RYUNDAI,SUV - SMALL,2,4,missing,X,1.06 L/10km,23.97 km/L,7.71 liters per 100 km,195
